	Lambda_Max	Species	Opsin_Family	Accession
Bovine	500	Bos_tarus	Rh1	NM_001014890
S1	502	Neoniphon_sammara	Rh1	U57536.1
S2	502	Neoniphon_argenteus	Rh1	U57540.1
S3	481	Neoniphon_aurolineatus	Rh1	U57541.1
S4	494	Sargocentron_punctatissimum	Rh1	U57543.1
S5	494	Sargocentron_microstoma	Rh1	U57542.1
S6	491	Sargocentron_diadema	Rh1	U57537.1
S7	486	Sargocentron_xantherythrum	Rh1	U57546.1
S8	490	Sargocentron_spiniferum	Rh1	U57544.1
S9	490	Sargocentron_tiere	Rh1	U57545.1
S10	499	Myripristis_violacea	Rh1	U57539.1
S11	493	Myripristis_berndti	Rh1	U57538.1
S12	498	Altolamprologus_calvus	Rh1	AB458132.1
S13	495	Aulonocara_sp.	Rh1	AB185214.1
S14	499	Altolamprologus_calvus	Rh1	AB084924.1
S15	492	Baileychromis_centropomoides	Rh1	AB185217.1
S16	501	Bathybates_fasciatus	Rh1	AB185218.1
S17	488	Benthochromis_tricoti	Rh1	AB084927.1
S18	487	Cyphotilapia_frontosa	Rh1	AB084929.1
S19	498	Cyprichromis_leptosoma	Rh1	AB084930.1
S20	502	Dimidiochromis_compressiceps	Rh1	AB084931.1
S21	500	Diplotaxodon_macrops	Rh1	AB185220.1
S22	497	Gnathochromis_permaxillaris	Rh1	AB084932.1
S23	488	Greenwoodochromis_bellcrossi	Rh1	AB185221.1
S24	501	Haplochromis_sp.	Rh1	AB084933.1
S25	504	Haplotaxodon_microlepis	Rh1	AB458142.1
S26	496	Hemibates_stenosoma	Rh1	AB185222.1
S27	500	Labidochromis_caeruleus	Rh1	AB084934.1
S28	498	Limnochromis_staneri	Rh1	AB185225.1
S29	505	Oreochromis_niloticus	Rh1	AB084938.1
S30	500	Pallidochromis_tokolosh	Rh1	AB185229.1
S31	490	Perissodus_elaviae	Rh1	AB185230.1
S32	498	Pseudotropheus_sp.	Rh1	GQ422475.1
S33	502	Spathodus_erythrodon	Rh1	AB084941.1
S34	484	Trematocara_unimaculatum	Rh1	AB185238.1
S35	488	Trematocara_macrostoma	Rh1	AB084945.1
S36	501	Tropheus_duboisi	Rh1	AB084946.1
S37	488	Xenotilapia_nigrolabiata	Rh1	AB458130.1
S38	491	Xenotilapia_caudafasciata	Rh1	AB458131.1
S39	503	Xenotilapia_ochrogenys	Rh1	AB084947.1
S40	497.9	Tachyglossus_aculeatus	Rh1	JX103830
S41	503.8	Tachyglossus_aculeatus	Rh1	JX103830_N83D
S42	498	Tachyglossus_aculeatus	Rh1	JX103830_T158A
S43	499.4	Tachyglossus_aculeatus	Rh1	JX103830_F169A
S44	499.5	Bos_taurus	Rh1	NM_001014890_D83G
S45	489.5	Bos_taurus	Rh1	NM_001014890_D83N
S46	492.5	Bos_taurus	Rh1	NM_001014890_M86E
S47	481	Bos_taurus	Rh1	NM_001014890_E122Q
S48	496	Bos_taurus	Rh1	NM_001014890_E122I
S49	497	Bos_taurus	Rh1	NM_001014890_E134L
S50	495.5	Bos_taurus	Rh1	NM_001014890_E134Q
S51	499	Bos_taurus	Rh1	NM_001014890_R135L
S52	493	Bos_taurus	Rh1	NM_001014890_H211C
S53	493.5	Bos_taurus	Rh1	NM_001014890_H211F
S54	496.5	Bos_taurus	Rh1	NM_001014890_E122I_D83G
S55	491	Bos_taurus	Rh1	NM_001014890_E122I_M86E
S56	497.5	Bos_taurus	Rh1	NM_001014890_E134L_R135L
S57	496	Bos_taurus	Rh1	NM_001014890_E134R_R135E
S58	500	Bos_taurus	Rh1	NM_001014890_T97S
S59	500	Bos_taurus	Rh1	NM_001014890_F116S
S60	493	Bos_taurus	Rh1	NM_001014890_E122M
S61	500	Bos_taurus	Rh1	NM_001014890_A164G
S62	500	Cyprichromis_leptosoma	Rh1	AB458118.1
S63	491	Paracyprichromis_brieni	Rh1	AB458120.1
S64	497	Xenotilapia_papilio	Rh1	AB457996.1
S65	494	Paracyprichromis_brieni	Rh1	AB458121.1
S66	493	Neolamprologus_ventralis	Rh1	AB458138.1
S67	492	Paracyprichromis_nigripinnis	Rh1	AB458122.1
S68	489	Cyprichromis_pavo	Rh1	AB458119.1
S69	498	Cyphotilapia_frontosa	Rh1	AB084929_S292A
S70	500	Trematocara_macrostoma	Rh1	AB084945_S292A
S71	491	Oreochromis_niloticus	Rh1	AB084938_A292S
S72	500	Baileychromis_centropomoides	Rh1	AB185217_N83D
S73	503	Pallidochromis_tokolosh	Rh1	AB185229_N83D
S74	502	Diplotaxodon_macrops	Rh1	AB185220_N83D
S75	494	Limnochromis_staneri	Rh1	AB185225_D83N
S76	501	Rod_ancestor_pigmenta	Rh1	pigmenta
S77	501	Rod_ancestor_pigmentb	Rh1	pigmentb
S78	501	Rod_ancestor_pigmentc	Rh1	pigmentc
S79	501	Rod_ancestor_pigmentd	Rh1	pigmentd
S80	482	Rod_ancestor_pigmente	Rh1	pigmente
S81	502	Rod_ancestor_pigmentf	Rh1	pigmentf
S82	501	Rod_ancestor_pigmentg	Rh1	pigmentg
S83	502	Rod_ancestor_pigmenth	Rh1	pigmenth
S84	496	Rod_ancestor_pigmenti	Rh1	pigmenti
S85	485	Rod_ancestor_pigmentj	Rh1	pigmentj
S86	486	Rod_ancestor_pigmenti	Rh1	pigmentk
S87	486	Conger_myriaster	Rh1	AB043817.1
S88	485	Latimeria_chalumnae	Rh1	AH007712.2
S89	496	Loxodonta_africana	Rh1	AY686752.1
S90	483	Sebastolobus_altivelis	Rh1	DQ490124
S91	526	Aristostomias_scintillans	Rh1	EU407248.1
